,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15
77,48.0,41.0,47.0,48.0,47.0,43.0,43.0,43.0,49.0,48.0,48.0,46.0,44.0,44.0,48.0,47.0
78,49.0,41.0,47.0,48.0,47.0,44.0,44.0,44.0,50.0,48.0,48.0,46.0,45.0,44.0,49.0,48.0
79,49.0,42.0,48.0,49.0,48.0,45.0,45.0,45.0,50.0,49.0,49.0,47.0,45.0,44.0,49.0,49.0
80,49.0,42.0,48.0,50.0,48.0,45.0,46.0,45.0,51.0,50.0,49.0,48.0,46.0,45.0,50.0,49.0
81,50.0,43.0,49.0,50.0,49.0,46.0,46.0,45.0,51.0,50.0,50.0,48.0,46.0,46.0,51.0,50.0
82,51.0,43.0,50.0,51.0,50.0,46.0,47.0,46.0,52.0,51.0,51.0,48.0,46.0,46.0,51.0,50.0
83,51.0,44.0,50.0,52.0,51.0,47.0,48.0,46.0,53.0,51.0,51.0,49.0,47.0,46.0,51.0,51.0
84,51.0,44.0,51.0,53.0,51.0,47.0,48.0,47.0,53.0,52.0,52.0,49.0,48.0,47.0,52.0,51.0
85,52.0,45.0,51.0,53.0,52.0,48.0,49.0,48.0,54.0,52.0,53.0,50.0,49.0,47.0,53.0,52.0
86,53.0,45.0,52.0,54.0,52.0,48.0,50.0,48.0,54.0,53.0,53.0,51.0,49.0,48.0,53.0,52.0
87,54.0,45.0,53.0,55.0,52.0,49.0,50.0,49.0,55.0,53.0,53.0,52.0,50.0,48.0,54.0,52.0
88,54.0,46.0,53.0,55.0,53.0,50.0,51.0,49.0,56.0,54.0,54.0,52.0,51.0,49.0,54.0,53.0
89,54.0,46.0,54.0,56.0,53.0,50.0,52.0,50.0,57.0,54.0,55.0,53.0,52.0,49.0,55.0,54.0
90,55.0,47.0,55.0,56.0,54.0,50.0,52.0,51.0,57.0,55.0,55.0,54.0,53.0,50.0,55.0,54.0
91,55.0,47.0,55.0,57.0,55.0,51.0,52.0,51.0,58.0,55.0,56.0,54.0,53.0,50.0,56.0,55.0
92,56.0,48.0,55.0,57.0,56.0,51.0,53.0,52.0,58.0,56.0,56.0,55.0,54.0,51.0,56.0,56.0
93,57.0,49.0,56.0,57.0,56.0,52.0,53.0,52.0,59.0,57.0,57.0,56.0,54.0,51.0,57.0,57.0
94,57.0,50.0,56.0,58.0,57.0,52.0,54.0,53.0,59.0,57.0,58.0,56.0,55.0,52.0,58.0,57.0
95,58.0,51.0,57.0,59.0,57.0,53.0,55.0,53.0,60.0,58.0,59.0,56.0,55.0,52.0,59.0,58.0
96,58.0,51.0,57.0,60.0,58.0,54.0,56.0,54.0,60.0,58.0,60.0,56.0,56.0,53.0,60.0,58.0
97,59.0,51.0,57.0,61.0,58.0,54.0,57.0,55.0,61.0,59.0,60.0,57.0,56.0,54.0,61.0,59.0
98,60.0,52.0,58.0,62.0,59.0,55.0,58.0,56.0,61.0,60.0,61.0,57.0,56.0,55.0,62.0,60.0
99,61.0,52.0,58.0,63.0,60.0,55.0,58.0,56.0,62.0,60.0,61.0,58.0,57.0,55.0,62.0,60.0
100,61.0,53.0,59.0,63.0,61.0,56.0,59.0,57.0,63.0,61.0,61.0,58.0,57.0,56.0,63.0,61.0
