,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
91,57.0,60.0,53.0,53.0,56.0,56.0,56.0,56.0,55.0,54.0,61.0,57.0,55.0,58.0,61.0,56.0
92,57.0,60.0,53.0,54.0,57.0,56.0,57.0,56.0,55.0,54.0,62.0,57.0,55.0,58.0,61.0,57.0
93,58.0,61.0,54.0,54.0,57.0,57.0,58.0,57.0,56.0,55.0,63.0,58.0,56.0,59.0,62.0,57.0
94,59.0,61.0,55.0,55.0,58.0,58.0,58.0,57.0,57.0,56.0,63.0,59.0,56.0,59.0,62.0,58.0
95,59.0,62.0,56.0,56.0,59.0,59.0,58.0,57.0,57.0,56.0,64.0,60.0,57.0,60.0,63.0,58.0
96,60.0,62.0,57.0,56.0,59.0,60.0,59.0,58.0,58.0,57.0,64.0,60.0,58.0,61.0,63.0,59.0
97,61.0,63.0,58.0,57.0,60.0,60.0,60.0,58.0,59.0,58.0,65.0,61.0,58.0,61.0,64.0,60.0
98,61.0,64.0,59.0,58.0,61.0,61.0,60.0,58.0,59.0,58.0,65.0,62.0,59.0,62.0,64.0,61.0
99,62.0,65.0,60.0,59.0,62.0,61.0,61.0,59.0,60.0,59.0,66.0,62.0,59.0,62.0,65.0,61.0
100,62.0,65.0,60.0,59.0,63.0,61.0,62.0,60.0,60.0,59.0,66.0,63.0,60.0,63.0,65.0,62.0
