,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15
60,25.0,24.0,24.0,23.0,24.0,22.0,26.0,23.0,25.0,22.0,22.0,26.0,24.0,24.0,27.0,23.0
61,26.0,25.0,24.0,24.0,24.0,23.0,26.0,23.0,25.0,22.0,22.0,27.0,24.0,25.0,27.0,23.0
62,26.0,25.0,25.0,24.0,25.0,23.0,26.0,23.0,25.0,23.0,23.0,28.0,25.0,25.0,27.0,24.0
63,26.0,26.0,26.0,25.0,25.0,24.0,27.0,23.0,26.0,23.0,23.0,28.0,26.0,25.0,28.0,24.0
64,26.0,26.0,26.0,25.0,26.0,24.0,27.0,24.0,26.0,24.0,23.0,29.0,26.0,26.0,28.0,24.0
65,27.0,26.0,26.0,26.0,27.0,25.0,28.0,24.0,26.0,24.0,23.0,29.0,27.0,26.0,28.0,25.0
66,27.0,26.0,27.0,26.0,27.0,25.0,28.0,24.0,27.0,25.0,24.0,29.0,27.0,27.0,28.0,25.0
67,28.0,27.0,28.0,26.0,28.0,26.0,29.0,25.0,27.0,25.0,24.0,29.0,27.0,27.0,29.0,25.0
68,28.0,28.0,28.0,26.0,28.0,26.0,29.0,26.0,27.0,25.0,25.0,29.0,27.0,28.0,30.0,26.0
69,28.0,28.0,28.0,27.0,28.0,26.0,29.0,27.0,28.0,25.0,25.0,30.0,28.0,28.0,30.0,26.0
70,29.0,28.0,29.0,28.0,29.0,27.0,29.0,27.0,29.0,26.0,25.0,30.0,28.0,29.0,30.0,27.0
71,29.0,29.0,29.0,28.0,29.0,27.0,29.0,27.0,29.0,26.0,25.0,30.0,28.0,29.0,31.0,28.0
72,29.0,30.0,29.0,28.0,30.0,27.0,30.0,27.0,30.0,26.0,26.0,31.0,29.0,29.0,31.0,28.0
73,30.0,30.0,29.0,29.0,30.0,27.0,30.0,27.0,30.0,27.0,26.0,32.0,29.0,30.0,31.0,28.0
74,30.0,30.0,30.0,29.0,30.0,28.0,30.0,28.0,31.0,27.0,26.0,32.0,30.0,30.0,31.0,29.0
75,31.0,31.0,30.0,30.0,31.0,29.0,30.0,28.0,31.0,28.0,26.0,32.0,30.0,31.0,32.0,29.0
76,31.0,31.0,31.0,31.0,31.0,29.0,31.0,28.0,32.0,28.0,27.0,33.0,31.0,31.0,33.0,30.0
77,32.0,31.0,31.0,31.0,31.0,30.0,31.0,29.0,32.0,28.0,27.0,33.0,32.0,31.0,33.0,30.0
78,32.0,32.0,31.0,32.0,32.0,30.0,32.0,29.0,32.0,29.0,27.0,33.0,32.0,32.0,34.0,30.0
79,32.0,32.0,32.0,33.0,32.0,31.0,32.0,30.0,32.0,29.0,27.0,33.0,32.0,32.0,34.0,30.0
80,33.0,33.0,32.0,34.0,33.0,32.0,32.0,30.0,32.0,30.0,28.0,33.0,33.0,33.0,34.0,31.0
81,33.0,33.0,33.0,34.0,33.0,32.0,33.0,30.0,33.0,30.0,28.0,34.0,33.0,33.0,35.0,32.0
82,33.0,33.0,34.0,34.0,34.0,32.0,33.0,31.0,33.0,30.0,28.0,35.0,34.0,33.0,35.0,32.0
83,33.0,34.0,34.0,34.0,34.0,32.0,34.0,31.0,33.0,31.0,29.0,35.0,34.0,34.0,36.0,32.0
84,34.0,34.0,35.0,35.0,35.0,33.0,34.0,32.0,34.0,31.0,30.0,35.0,34.0,34.0,36.0,33.0
85,34.0,35.0,36.0,35.0,35.0,33.0,34.0,32.0,34.0,32.0,30.0,36.0,35.0,34.0,37.0,34.0
86,35.0,35.0,36.0,35.0,36.0,34.0,35.0,33.0,35.0,32.0,30.0,36.0,35.0,35.0,37.0,34.0
87,35.0,35.0,36.0,36.0,36.0,34.0,35.0,33.0,35.0,33.0,31.0,37.0,35.0,35.0,37.0,35.0
