,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
45,38.0,33.0,34.0,38.0,36.0,30.0,37.0,36.0,35.0,33.0,39.0,38.0,35.0,39.0,34.0,36.0,36.0,36.0,35.0,38.0
46,38.0,34.0,35.0,38.0,37.0,30.0,38.0,37.0,36.0,34.0,40.0,39.0,36.0,40.0,35.0,37.0,37.0,37.0,35.0,39.0
47,39.0,35.0,35.0,39.0,38.0,31.0,38.0,37.0,36.0,35.0,41.0,39.0,36.0,41.0,36.0,38.0,38.0,38.0,36.0,40.0
48,40.0,36.0,36.0,40.0,38.0,32.0,39.0,38.0,37.0,36.0,42.0,40.0,37.0,41.0,37.0,38.0,38.0,38.0,37.0,41.0
49,40.0,37.0,37.0,41.0,39.0,32.0,40.0,39.0,38.0,37.0,43.0,41.0,38.0,42.0,38.0,39.0,39.0,39.0,38.0,41.0
50,41.0,38.0,38.0,42.0,40.0,33.0,41.0,40.0,39.0,37.0,43.0,42.0,38.0,43.0,39.0,39.0,40.0,40.0,39.0,42.0
51,42.0,39.0,39.0,43.0,40.0,34.0,42.0,41.0,40.0,38.0,44.0,43.0,39.0,44.0,40.0,40.0,41.0,41.0,40.0,43.0
52,42.0,39.0,39.0,43.0,41.0,35.0,43.0,41.0,40.0,38.0,45.0,43.0,40.0,45.0,41.0,40.0,42.0,42.0,41.0,44.0
53,42.0,40.0,40.0,43.0,42.0,36.0,43.0,42.0,41.0,39.0,45.0,44.0,41.0,45.0,42.0,41.0,43.0,43.0,41.0,44.0
54,43.0,41.0,41.0,44.0,43.0,37.0,44.0,43.0,42.0,40.0,45.0,45.0,42.0,46.0,43.0,42.0,44.0,44.0,42.0,45.0
55,43.0,42.0,42.0,45.0,44.0,38.0,45.0,44.0,42.0,41.0,46.0,45.0,43.0,47.0,43.0,43.0,45.0,45.0,43.0,46.0
56,44.0,43.0,43.0,46.0,45.0,38.0,46.0,45.0,43.0,42.0,47.0,46.0,43.0,48.0,44.0,44.0,46.0,46.0,43.0,47.0
57,45.0,43.0,44.0,46.0,46.0,39.0,47.0,46.0,44.0,42.0,48.0,46.0,44.0,49.0,45.0,45.0,46.0,46.0,44.0,48.0
58,46.0,43.0,45.0,47.0,47.0,39.0,47.0,47.0,45.0,43.0,49.0,47.0,45.0,50.0,46.0,46.0,47.0,47.0,45.0,49.0
59,46.0,44.0,46.0,47.0,48.0,40.0,48.0,48.0,46.0,44.0,49.0,48.0,46.0,50.0,46.0,47.0,48.0,48.0,46.0,49.0
60,47.0,45.0,47.0,48.0,49.0,41.0,49.0,48.0,47.0,44.0,50.0,49.0,47.0,51.0,47.0,47.0,49.0,48.0,47.0,50.0
61,48.0,46.0,48.0,49.0,50.0,42.0,50.0,49.0,48.0,45.0,51.0,49.0,48.0,52.0,48.0,48.0,50.0,49.0,47.0,51.0
62,48.0,46.0,49.0,50.0,51.0,42.0,51.0,50.0,49.0,46.0,51.0,50.0,48.0,52.0,49.0,49.0,50.0,49.0,48.0,52.0
63,49.0,47.0,50.0,51.0,52.0,43.0,52.0,51.0,50.0,47.0,52.0,51.0,49.0,53.0,50.0,50.0,51.0,50.0,49.0,53.0
64,49.0,47.0,51.0,52.0,52.0,44.0,53.0,52.0,51.0,48.0,53.0,52.0,50.0,53.0,51.0,51.0,52.0,51.0,49.0,54.0
65,50.0,48.0,52.0,53.0,53.0,45.0,53.0,52.0,51.0,48.0,54.0,53.0,51.0,54.0,51.0,52.0,53.0,52.0,50.0,54.0
66,51.0,49.0,53.0,54.0,53.0,46.0,54.0,53.0,52.0,49.0,55.0,54.0,52.0,55.0,52.0,53.0,54.0,53.0,51.0,55.0
67,52.0,50.0,54.0,54.0,54.0,46.0,54.0,53.0,53.0,50.0,56.0,55.0,53.0,55.0,53.0,54.0,55.0,54.0,52.0,56.0
68,52.0,50.0,55.0,54.0,55.0,47.0,55.0,54.0,54.0,51.0,56.0,56.0,54.0,56.0,53.0,55.0,56.0,55.0,53.0,57.0
69,53.0,51.0,55.0,55.0,56.0,48.0,55.0,55.0,54.0,51.0,57.0,57.0,55.0,57.0,54.0,56.0,56.0,56.0,54.0,58.0
70,54.0,52.0,56.0,56.0,57.0,49.0,56.0,55.0,55.0,52.0,57.0,58.0,56.0,58.0,54.0,56.0,57.0,57.0,54.0,59.0
71,55.0,52.0,56.0,56.0,58.0,50.0,57.0,56.0,55.0,52.0,58.0,58.0,56.0,59.0,55.0,57.0,57.0,58.0,55.0,59.0
72,56.0,53.0,57.0,57.0,58.0,51.0,57.0,57.0,56.0,53.0,59.0,59.0,57.0,60.0,56.0,58.0,58.0,59.0,55.0,60.0
73,57.0,53.0,58.0,58.0,59.0,51.0,58.0,57.0,57.0,53.0,60.0,59.0,58.0,61.0,57.0,59.0,58.0,60.0,56.0,60.0
74,58.0,53.0,59.0,59.0,60.0,52.0,58.0,58.0,57.0,54.0,61.0,60.0,59.0,62.0,57.0,60.0,58.0,61.0,57.0,61.0
75,59.0,54.0,60.0,60.0,60.0,53.0,59.0,59.0,58.0,55.0,62.0,61.0,60.0,63.0,58.0,61.0,59.0,62.0,58.0,62.0
76,60.0,55.0,61.0,60.0,61.0,54.0,60.0,60.0,59.0,55.0,63.0,62.0,61.0,64.0,59.0,62.0,60.0,63.0,59.0,63.0
77,61.0,56.0,62.0,61.0,62.0,55.0,61.0,60.0,60.0,56.0,64.0,63.0,62.0,65.0,59.0,63.0,61.0,64.0,60.0,64.0
78,62.0,57.0,63.0,62.0,63.0,55.0,62.0,61.0,61.0,57.0,65.0,63.0,63.0,65.0,60.0,63.0,62.0,65.0,60.0,65.0
79,63.0,57.0,64.0,63.0,64.0,56.0,63.0,62.0,62.0,58.0,66.0,63.0,63.0,66.0,61.0,64.0,63.0,66.0,61.0,65.0
80,64.0,58.0,65.0,63.0,65.0,57.0,64.0,63.0,63.0,59.0,67.0,64.0,64.0,66.0,61.0,65.0,64.0,66.0,62.0,66.0
81,64.0,59.0,66.0,64.0,66.0,58.0,64.0,64.0,63.0,60.0,68.0,64.0,65.0,67.0,62.0,65.0,65.0,67.0,62.0,67.0
82,65.0,60.0,66.0,65.0,67.0,58.0,65.0,65.0,64.0,61.0,68.0,65.0,65.0,67.0,63.0,66.0,66.0,68.0,63.0,68.0
83,66.0,60.0,67.0,65.0,68.0,58.0,65.0,66.0,65.0,61.0,69.0,66.0,66.0,68.0,63.0,66.0,67.0,69.0,64.0,68.0
84,67.0,61.0,67.0,66.0,68.0,59.0,66.0,66.0,66.0,62.0,70.0,67.0,66.0,69.0,64.0,67.0,68.0,69.0,65.0,69.0
85,68.0,62.0,68.0,67.0,69.0,60.0,67.0,67.0,66.0,63.0,71.0,68.0,67.0,70.0,65.0,68.0,69.0,70.0,66.0,70.0
