,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
3,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0
4,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0
5,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0
6,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,6.0,4.0,5.0,4.0
7,4.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0
8,5.0,7.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,7.0,6.0,6.0,5.0
9,5.0,8.0,5.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,8.0,6.0,6.0,5.0
10,6.0,8.0,5.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,5.0,8.0,8.0,7.0,7.0,6.0
11,6.0,9.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,6.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,7.0,7.0
12,7.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,6.0,7.0,9.0,9.0,8.0,8.0,7.0
13,7.0,10.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,7.0,8.0,10.0,10.0,9.0,9.0,8.0
14,8.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,11.0,9.0,7.0,8.0,11.0,11.0,9.0,10.0,8.0
15,8.0,11.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,8.0,11.0,10.0,8.0,8.0,11.0,11.0,10.0,10.0,9.0
16,9.0,11.0,9.0,10.0,11.0,12.0,9.0,10.0,9.0,10.0,9.0,12.0,11.0,8.0,9.0,12.0,12.0,11.0,11.0,9.0
17,10.0,12.0,9.0,11.0,11.0,12.0,10.0,10.0,10.0,11.0,9.0,12.0,12.0,8.0,9.0,12.0,12.0,12.0,11.0,10.0
18,10.0,13.0,9.0,11.0,12.0,13.0,11.0,10.0,10.0,12.0,9.0,13.0,13.0,9.0,10.0,13.0,13.0,12.0,11.0,10.0
19,11.0,13.0,10.0,12.0,12.0,13.0,12.0,11.0,11.0,13.0,9.0,14.0,14.0,9.0,10.0,14.0,14.0,12.0,12.0,11.0
20,11.0,14.0,11.0,12.0,13.0,14.0,12.0,12.0,11.0,14.0,10.0,14.0,14.0,10.0,11.0,15.0,15.0,13.0,12.0,11.0
