,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
42,0.5476190476190477,0.6428571428571429,0.6428571428571429,0.5952380952380952,0.5952380952380952,0.5238095238095238,0.6428571428571429,0.5476190476190477,0.5952380952380952,0.6190476190476191,0.6428571428571429,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.5952380952380952,0.6428571428571429,0.5714285714285714,0.5952380952380952,0.6190476190476191,0.5714285714285714
43,0.5581395348837209,0.627906976744186,0.6511627906976745,0.6046511627906976,0.5813953488372093,0.5348837209302325,0.627906976744186,0.5581395348837209,0.6046511627906976,0.627906976744186,0.6511627906976745,0.5116279069767442,0.5348837209302325,0.5813953488372093,0.6046511627906976,0.627906976744186,0.5813953488372093,0.5813953488372093,0.627906976744186,0.5813953488372093
44,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6136363636363636,0.5681818181818182,0.5227272727272727,0.6136363636363636,0.5454545454545454,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.5227272727272727,0.5227272727272727,0.5909090909090909,0.5909090909090909,0.6136363636363636,0.5681818181818182,0.5909090909090909,0.6136363636363636,0.5909090909090909
45,0.5555555555555556,0.6444444444444445,0.6444444444444445,0.6,0.5777777777777777,0.5333333333333333,0.6,0.5555555555555556,0.6,0.6444444444444445,0.6222222222222222,0.5333333333333333,0.5333333333333333,0.6,0.6,0.6,0.5777777777777777,0.6,0.6222222222222222,0.6
46,0.5652173913043478,0.6304347826086957,0.6304347826086957,0.5869565217391305,0.5869565217391305,0.5217391304347826,0.6086956521739131,0.5434782608695652,0.5869565217391305,0.6304347826086957,0.6304347826086957,0.5217391304347826,0.5217391304347826,0.6086956521739131,0.5869565217391305,0.6086956521739131,0.5652173913043478,0.6086956521739131,0.6086956521739131,0.6086956521739131
47,0.5531914893617021,0.6382978723404256,0.6382978723404256,0.5957446808510638,0.5957446808510638,0.5319148936170213,0.5957446808510638,0.5531914893617021,0.5957446808510638,0.6170212765957447,0.6170212765957447,0.5319148936170213,0.5319148936170213,0.6170212765957447,0.5957446808510638,0.5957446808510638,0.5531914893617021,0.5957446808510638,0.6170212765957447,0.5957446808510638
48,0.5625,0.625,0.625,0.5833333333333334,0.5833333333333334,0.5208333333333334,0.6041666666666666,0.5416666666666666,0.6041666666666666,0.625,0.6041666666666666,0.5416666666666666,0.5208333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5625,0.6041666666666666,0.6041666666666666,0.5833333333333334
49,0.5714285714285714,0.6326530612244898,0.6326530612244898,0.5714285714285714,0.5918367346938775,0.5102040816326531,0.6122448979591837,0.5306122448979592,0.5918367346938775,0.6122448979591837,0.6122448979591837,0.5306122448979592,0.5306122448979592,0.6122448979591837,0.5918367346938775,0.5918367346938775,0.5714285714285714,0.6122448979591837,0.6122448979591837,0.5918367346938775
50,0.56,0.64,0.64,0.58,0.6,0.52,0.6,0.54,0.6,0.62,0.62,0.54,0.52,0.62,0.58,0.58,0.58,0.6,0.6,0.6
51,0.5490196078431373,0.6470588235294118,0.6274509803921569,0.5882352941176471,0.5882352941176471,0.5098039215686274,0.6078431372549019,0.5490196078431373,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.5294117647058824,0.5294117647058824,0.6274509803921569,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6078431372549019,0.5882352941176471,0.5882352941176471
52,0.5576923076923077,0.6346153846153846,0.6346153846153846,0.5961538461538461,0.5769230769230769,0.5,0.5961538461538461,0.5576923076923077,0.5961538461538461,0.5961538461538461,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6346153846153846,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.6153846153846154,0.5961538461538461,0.5961538461538461
53,0.5660377358490566,0.6415094339622641,0.6226415094339622,0.5849056603773585,0.5660377358490566,0.5094339622641509,0.6037735849056604,0.5471698113207547,0.5849056603773585,0.6037735849056604,0.6226415094339622,0.5283018867924528,0.5471698113207547,0.6226415094339622,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.6226415094339622,0.5849056603773585,0.6037735849056604
54,0.5555555555555556,0.6481481481481481,0.6296296296296297,0.5740740740740741,0.5740740740740741,0.5,0.5925925925925926,0.5555555555555556,0.5925925925925926,0.5925925925925926,0.6111111111111112,0.5370370370370371,0.5370370370370371,0.6296296296296297,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.6111111111111112,0.5925925925925926,0.6111111111111112
55,0.5636363636363636,0.6545454545454545,0.6363636363636364,0.5818181818181818,0.5636363636363636,0.4909090909090909,0.6,0.5454545454545454,0.5818181818181818,0.6,0.6,0.5272727272727272,0.5454545454545454,0.6181818181818182,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.6,0.6,0.6
56,0.5535714285714286,0.6428571428571429,0.625,0.5714285714285714,0.5714285714285714,0.5,0.6071428571428571,0.5535714285714286,0.5892857142857143,0.6071428571428571,0.6071428571428571,0.5178571428571429,0.5535714285714286,0.625,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.6071428571428571,0.5892857142857143,0.5892857142857143
57,0.5614035087719298,0.6491228070175439,0.631578947368421,0.5789473684210527,0.5614035087719298,0.49122807017543857,0.6140350877192983,0.543859649122807,0.5789473684210527,0.5964912280701754,0.5964912280701754,0.5263157894736842,0.543859649122807,0.6140350877192983,0.5964912280701754,0.5789473684210527,0.5789473684210527,0.5964912280701754,0.5964912280701754,0.5964912280701754
58,0.5517241379310345,0.6379310344827587,0.6379310344827587,0.5689655172413793,0.5689655172413793,0.4827586206896552,0.6206896551724138,0.5517241379310345,0.5862068965517241,0.603448275862069,0.603448275862069,0.5344827586206896,0.5517241379310345,0.6206896551724138,0.603448275862069,0.5862068965517241,0.5862068965517241,0.603448275862069,0.5862068965517241,0.603448275862069
59,0.559322033898305,0.6440677966101694,0.6271186440677966,0.576271186440678,0.559322033898305,0.4915254237288136,0.6101694915254238,0.5423728813559322,0.576271186440678,0.5932203389830508,0.6101694915254238,0.5254237288135594,0.5423728813559322,0.6101694915254238,0.6101694915254238,0.5932203389830508,0.576271186440678,0.6101694915254238,0.5932203389830508,0.5932203389830508
