,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial50,Trial51,Trial52,Trial53,Trial54,Trial55,Trial56,Trial57,Trial58,Trial59,Trial60,Trial61,Trial62,Trial63,Trial64,Trial65,Trial66,Trial67,Trial68,Trial69,Trial70,Trial71,Trial72,Trial73,Trial74,Trial75,Trial76,Trial77,Trial78,Trial79,Trial80,Trial81,Trial82,Trial83,Trial84,Trial85,Trial86,Trial87,Trial88,Trial89,Trial90,Trial91,Trial92,Trial93,Trial94,Trial95,Trial96,Trial97,Trial98,Trial99
67,43.0,46.0,43.0,44.0,43.0,44.0,43.0,48.0,41.0,45.0,44.0,42.0,41.0,45.0,44.0,42.0,43.0,44.0,43.0,45.0,43.0,42.0,45.0,44.0,43.0,43.0,44.0,41.0,40.0,44.0,43.0,44.0,45.0,47.0,40.0,45.0,45.0,47.0,43.0,44.0,46.0,45.0,46.0,43.0,43.0,43.0,41.0,41.0,41.0,43.0,48.0,43.0,46.0,45.0,43.0,43.0,43.0,50.0,46.0,43.0,43.0,42.0,44.0,38.0,43.0,45.0,41.0,43.0,43.0,41.0,45.0,45.0,44.0,42.0,42.0,45.0,41.0,43.0,48.0,43.0,43.0,42.0,44.0,40.0,43.0,42.0,44.0,51.0,40.0,44.0,43.0,50.0,42.0,40.0,42.0,44.0,45.0,45.0,40.0,48.0
68,43.0,46.0,43.0,45.0,44.0,44.0,43.0,49.0,41.0,46.0,44.0,43.0,42.0,45.0,45.0,42.0,44.0,45.0,43.0,45.0,44.0,42.0,46.0,44.0,43.0,43.0,45.0,41.0,41.0,44.0,43.0,44.0,45.0,48.0,41.0,46.0,46.0,48.0,44.0,45.0,47.0,46.0,47.0,44.0,43.0,44.0,42.0,41.0,42.0,44.0,49.0,43.0,47.0,46.0,44.0,44.0,44.0,50.0,47.0,44.0,43.0,42.0,45.0,38.0,44.0,46.0,41.0,44.0,44.0,41.0,45.0,45.0,45.0,43.0,42.0,45.0,41.0,44.0,48.0,43.0,43.0,43.0,45.0,41.0,44.0,42.0,44.0,51.0,40.0,44.0,43.0,51.0,42.0,41.0,42.0,44.0,45.0,46.0,41.0,48.0
69,44.0,47.0,44.0,46.0,44.0,45.0,44.0,50.0,42.0,46.0,45.0,44.0,43.0,46.0,45.0,43.0,45.0,45.0,44.0,46.0,45.0,43.0,47.0,45.0,43.0,44.0,45.0,41.0,41.0,44.0,43.0,45.0,46.0,48.0,42.0,47.0,47.0,48.0,45.0,46.0,48.0,47.0,47.0,45.0,44.0,45.0,43.0,42.0,42.0,45.0,49.0,44.0,47.0,46.0,45.0,45.0,45.0,51.0,48.0,45.0,44.0,43.0,46.0,39.0,45.0,46.0,42.0,44.0,45.0,42.0,46.0,46.0,45.0,43.0,43.0,45.0,42.0,44.0,49.0,44.0,44.0,43.0,46.0,41.0,45.0,43.0,45.0,52.0,41.0,45.0,44.0,51.0,43.0,41.0,43.0,45.0,46.0,47.0,41.0,49.0
70,44.0,47.0,44.0,46.0,44.0,45.0,44.0,50.0,43.0,47.0,45.0,44.0,44.0,47.0,46.0,44.0,46.0,46.0,45.0,47.0,46.0,44.0,48.0,46.0,44.0,45.0,46.0,42.0,42.0,45.0,44.0,46.0,46.0,49.0,43.0,48.0,48.0,49.0,45.0,46.0,49.0,47.0,48.0,46.0,45.0,46.0,43.0,42.0,43.0,45.0,50.0,45.0,47.0,47.0,46.0,46.0,45.0,51.0,49.0,46.0,44.0,43.0,46.0,40.0,45.0,47.0,43.0,45.0,45.0,42.0,47.0,46.0,46.0,44.0,43.0,46.0,42.0,45.0,49.0,45.0,44.0,44.0,46.0,42.0,46.0,44.0,46.0,52.0,42.0,46.0,45.0,52.0,43.0,42.0,43.0,45.0,47.0,48.0,42.0,50.0
71,45.0,48.0,45.0,47.0,45.0,46.0,45.0,50.0,44.0,47.0,46.0,44.0,44.0,47.0,47.0,45.0,47.0,47.0,45.0,47.0,46.0,44.0,48.0,47.0,45.0,46.0,47.0,43.0,43.0,45.0,45.0,46.0,47.0,50.0,44.0,49.0,48.0,49.0,46.0,47.0,50.0,48.0,49.0,47.0,46.0,46.0,44.0,43.0,44.0,46.0,50.0,45.0,48.0,48.0,47.0,46.0,46.0,52.0,49.0,46.0,45.0,44.0,47.0,41.0,46.0,47.0,44.0,46.0,46.0,43.0,47.0,47.0,47.0,44.0,44.0,46.0,43.0,45.0,50.0,45.0,45.0,45.0,47.0,43.0,46.0,44.0,46.0,53.0,43.0,47.0,46.0,53.0,44.0,43.0,44.0,46.0,48.0,48.0,42.0,50.0
72,46.0,48.0,46.0,47.0,46.0,46.0,45.0,51.0,44.0,48.0,47.0,45.0,45.0,48.0,48.0,45.0,47.0,47.0,46.0,48.0,47.0,45.0,48.0,48.0,45.0,46.0,48.0,44.0,43.0,46.0,46.0,47.0,48.0,50.0,44.0,50.0,49.0,50.0,46.0,47.0,51.0,48.0,49.0,48.0,47.0,47.0,45.0,43.0,45.0,46.0,51.0,46.0,49.0,49.0,47.0,47.0,46.0,53.0,50.0,47.0,46.0,45.0,47.0,41.0,47.0,48.0,44.0,46.0,46.0,43.0,48.0,47.0,48.0,45.0,45.0,47.0,43.0,46.0,51.0,46.0,46.0,45.0,48.0,44.0,47.0,45.0,47.0,54.0,43.0,48.0,47.0,53.0,45.0,44.0,44.0,47.0,49.0,49.0,43.0,51.0
73,47.0,49.0,46.0,48.0,46.0,47.0,46.0,51.0,45.0,49.0,47.0,45.0,46.0,49.0,48.0,46.0,48.0,48.0,46.0,49.0,48.0,45.0,49.0,49.0,46.0,47.0,48.0,44.0,44.0,47.0,46.0,48.0,49.0,51.0,45.0,51.0,49.0,51.0,47.0,48.0,52.0,49.0,50.0,48.0,48.0,48.0,46.0,44.0,45.0,47.0,51.0,46.0,49.0,50.0,48.0,48.0,47.0,53.0,51.0,48.0,46.0,46.0,48.0,42.0,48.0,49.0,45.0,47.0,46.0,44.0,48.0,48.0,49.0,46.0,46.0,48.0,44.0,46.0,52.0,46.0,46.0,46.0,48.0,45.0,48.0,46.0,47.0,55.0,44.0,49.0,47.0,54.0,46.0,44.0,45.0,48.0,49.0,50.0,44.0,52.0
74,47.0,50.0,46.0,48.0,47.0,47.0,47.0,52.0,46.0,50.0,47.0,46.0,46.0,49.0,49.0,47.0,49.0,48.0,47.0,50.0,49.0,46.0,49.0,49.0,47.0,47.0,49.0,45.0,45.0,47.0,47.0,48.0,49.0,52.0,45.0,51.0,50.0,51.0,47.0,49.0,52.0,50.0,50.0,49.0,48.0,49.0,47.0,44.0,45.0,47.0,52.0,47.0,50.0,50.0,49.0,48.0,48.0,54.0,51.0,48.0,46.0,47.0,49.0,42.0,49.0,50.0,45.0,47.0,47.0,45.0,49.0,48.0,49.0,47.0,47.0,49.0,45.0,47.0,52.0,47.0,47.0,47.0,49.0,46.0,49.0,46.0,48.0,56.0,44.0,50.0,47.0,55.0,47.0,45.0,46.0,49.0,50.0,50.0,44.0,53.0
75,48.0,51.0,47.0,49.0,48.0,48.0,47.0,52.0,46.0,50.0,48.0,46.0,47.0,50.0,49.0,48.0,50.0,49.0,47.0,50.0,49.0,46.0,50.0,50.0,48.0,48.0,49.0,46.0,45.0,47.0,47.0,49.0,50.0,52.0,46.0,52.0,51.0,52.0,48.0,49.0,53.0,50.0,51.0,50.0,49.0,50.0,47.0,45.0,46.0,48.0,53.0,47.0,51.0,51.0,49.0,49.0,48.0,54.0,52.0,49.0,47.0,47.0,49.0,42.0,49.0,51.0,46.0,48.0,48.0,46.0,50.0,49.0,50.0,47.0,48.0,50.0,45.0,47.0,52.0,47.0,48.0,47.0,49.0,46.0,49.0,47.0,49.0,57.0,45.0,50.0,48.0,55.0,47.0,46.0,46.0,50.0,51.0,51.0,44.0,54.0
76,48.0,52.0,48.0,50.0,48.0,48.0,48.0,53.0,46.0,50.0,49.0,47.0,47.0,50.0,50.0,48.0,50.0,49.0,48.0,51.0,50.0,47.0,50.0,50.0,49.0,48.0,50.0,46.0,46.0,48.0,48.0,50.0,51.0,53.0,47.0,53.0,52.0,52.0,49.0,50.0,53.0,50.0,52.0,50.0,50.0,50.0,48.0,45.0,46.0,48.0,54.0,48.0,52.0,51.0,50.0,50.0,49.0,55.0,52.0,50.0,48.0,48.0,50.0,43.0,50.0,51.0,46.0,49.0,49.0,47.0,50.0,49.0,51.0,48.0,49.0,51.0,46.0,47.0,53.0,48.0,49.0,48.0,50.0,47.0,50.0,48.0,49.0,57.0,45.0,51.0,49.0,56.0,48.0,46.0,47.0,50.0,52.0,51.0,45.0,54.0
