,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49
71,32.0,22.0,27.0,28.0,18.0,23.0,27.0,30.0,30.0,30.0,29.0,20.0,25.0,23.0,24.0,25.0,32.0,21.0,29.0,19.0,28.0,23.0,20.0,22.0,29.0
72,33.0,22.0,27.0,28.0,18.0,24.0,27.0,31.0,31.0,31.0,30.0,21.0,25.0,23.0,25.0,25.0,32.0,21.0,29.0,20.0,28.0,24.0,20.0,22.0,30.0
73,33.0,22.0,28.0,28.0,18.0,24.0,27.0,32.0,31.0,31.0,30.0,21.0,26.0,24.0,25.0,26.0,32.0,21.0,29.0,20.0,29.0,24.0,21.0,23.0,30.0
74,33.0,22.0,28.0,29.0,19.0,24.0,27.0,32.0,31.0,31.0,31.0,21.0,26.0,24.0,25.0,26.0,33.0,21.0,30.0,20.0,29.0,24.0,22.0,23.0,30.0
75,33.0,22.0,29.0,29.0,19.0,24.0,28.0,33.0,32.0,32.0,31.0,21.0,27.0,24.0,26.0,26.0,33.0,21.0,30.0,20.0,29.0,25.0,22.0,23.0,31.0
76,34.0,22.0,29.0,30.0,19.0,24.0,28.0,33.0,32.0,32.0,31.0,22.0,27.0,25.0,26.0,26.0,33.0,22.0,30.0,20.0,29.0,25.0,22.0,24.0,31.0
77,34.0,22.0,29.0,31.0,19.0,24.0,28.0,34.0,33.0,32.0,31.0,22.0,27.0,26.0,26.0,27.0,34.0,22.0,30.0,21.0,30.0,25.0,22.0,24.0,31.0
78,35.0,22.0,29.0,31.0,19.0,24.0,29.0,35.0,33.0,33.0,32.0,23.0,27.0,26.0,26.0,27.0,34.0,22.0,31.0,21.0,30.0,26.0,22.0,25.0,32.0
79,36.0,23.0,30.0,32.0,20.0,24.0,29.0,35.0,33.0,33.0,33.0,23.0,28.0,26.0,27.0,28.0,35.0,23.0,31.0,21.0,30.0,26.0,22.0,25.0,32.0
80,37.0,24.0,30.0,33.0,20.0,24.0,29.0,35.0,34.0,34.0,33.0,24.0,29.0,27.0,28.0,28.0,35.0,23.0,31.0,21.0,31.0,26.0,23.0,25.0,32.0
81,38.0,24.0,31.0,34.0,20.0,25.0,30.0,36.0,35.0,34.0,34.0,24.0,29.0,27.0,28.0,29.0,35.0,23.0,31.0,21.0,31.0,27.0,23.0,25.0,33.0
82,38.0,24.0,31.0,34.0,21.0,25.0,30.0,36.0,35.0,34.0,34.0,25.0,29.0,27.0,28.0,29.0,36.0,23.0,31.0,21.0,31.0,28.0,23.0,25.0,33.0
83,38.0,24.0,31.0,34.0,21.0,26.0,31.0,36.0,36.0,35.0,34.0,25.0,30.0,28.0,29.0,29.0,36.0,23.0,32.0,22.0,31.0,28.0,23.0,26.0,34.0
84,39.0,25.0,31.0,34.0,22.0,26.0,31.0,37.0,37.0,35.0,34.0,25.0,30.0,28.0,29.0,30.0,36.0,24.0,32.0,22.0,32.0,29.0,23.0,26.0,35.0
85,39.0,25.0,32.0,34.0,22.0,26.0,31.0,37.0,37.0,35.0,35.0,25.0,30.0,28.0,29.0,31.0,36.0,24.0,33.0,22.0,32.0,29.0,24.0,26.0,35.0
86,40.0,25.0,32.0,35.0,22.0,26.0,32.0,37.0,37.0,36.0,36.0,25.0,30.0,28.0,30.0,31.0,36.0,25.0,33.0,22.0,33.0,29.0,24.0,26.0,36.0
87,40.0,25.0,32.0,35.0,22.0,26.0,32.0,38.0,38.0,36.0,36.0,26.0,31.0,28.0,30.0,32.0,37.0,25.0,34.0,23.0,33.0,30.0,24.0,27.0,36.0
88,41.0,25.0,33.0,36.0,23.0,27.0,32.0,39.0,38.0,37.0,36.0,26.0,31.0,28.0,31.0,33.0,37.0,25.0,34.0,23.0,33.0,30.0,25.0,27.0,36.0
89,42.0,25.0,33.0,36.0,23.0,27.0,33.0,39.0,38.0,37.0,36.0,26.0,32.0,28.0,31.0,33.0,38.0,26.0,34.0,24.0,33.0,30.0,25.0,28.0,36.0
90,42.0,26.0,34.0,37.0,23.0,28.0,33.0,39.0,39.0,37.0,37.0,26.0,32.0,29.0,31.0,34.0,38.0,26.0,35.0,24.0,34.0,31.0,25.0,28.0,37.0
91,42.0,26.0,34.0,37.0,24.0,28.0,34.0,40.0,40.0,37.0,37.0,26.0,32.0,29.0,32.0,34.0,38.0,26.0,36.0,24.0,34.0,32.0,25.0,29.0,37.0
92,43.0,27.0,34.0,37.0,25.0,28.0,34.0,41.0,41.0,38.0,38.0,27.0,33.0,29.0,32.0,34.0,38.0,26.0,36.0,24.0,35.0,33.0,26.0,29.0,37.0
93,44.0,27.0,34.0,38.0,25.0,28.0,34.0,41.0,41.0,38.0,38.0,27.0,33.0,29.0,32.0,34.0,39.0,27.0,36.0,24.0,35.0,34.0,26.0,30.0,38.0
94,44.0,27.0,34.0,38.0,25.0,29.0,35.0,41.0,41.0,38.0,38.0,27.0,34.0,29.0,32.0,35.0,39.0,27.0,37.0,25.0,35.0,35.0,26.0,30.0,38.0
95,44.0,28.0,34.0,39.0,25.0,29.0,35.0,42.0,41.0,38.0,39.0,27.0,35.0,29.0,32.0,35.0,39.0,27.0,37.0,25.0,36.0,35.0,26.0,30.0,38.0
96,45.0,28.0,35.0,39.0,25.0,29.0,35.0,43.0,42.0,39.0,39.0,28.0,35.0,30.0,32.0,35.0,40.0,27.0,38.0,25.0,36.0,35.0,26.0,31.0,38.0
97,45.0,28.0,35.0,40.0,26.0,29.0,36.0,43.0,42.0,40.0,40.0,28.0,35.0,31.0,33.0,36.0,40.0,27.0,38.0,25.0,36.0,35.0,27.0,31.0,39.0
98,46.0,28.0,35.0,40.0,26.0,29.0,36.0,43.0,43.0,40.0,40.0,29.0,36.0,31.0,33.0,36.0,41.0,27.0,38.0,25.0,37.0,35.0,28.0,32.0,39.0
99,46.0,29.0,36.0,41.0,26.0,30.0,37.0,44.0,44.0,40.0,41.0,29.0,36.0,31.0,33.0,36.0,41.0,28.0,38.0,26.0,37.0,35.0,28.0,33.0,40.0
100,46.0,29.0,36.0,41.0,26.0,30.0,37.0,45.0,44.0,41.0,41.0,29.0,36.0,32.0,34.0,36.0,41.0,29.0,38.0,26.0,37.0,36.0,28.0,33.0,40.0
