,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
3,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0
4,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0
5,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
6,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
7,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0
8,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0
9,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0
10,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0
11,6.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0
12,6.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,4.0
13,6.0,5.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,5.0
14,7.0,5.0,4.0,4.0,6.0,5.0,6.0,4.0,6.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0
15,7.0,6.0,4.0,4.0,6.0,6.0,6.0,4.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0
16,7.0,6.0,5.0,4.0,6.0,7.0,7.0,4.0,7.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,7.0,6.0,4.0,5.0,5.0,5.0,5.0
17,7.0,6.0,5.0,5.0,6.0,7.0,7.0,4.0,8.0,4.0,6.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,7.0,6.0,4.0,5.0,6.0,5.0,6.0
18,7.0,6.0,5.0,6.0,6.0,7.0,7.0,5.0,8.0,4.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,7.0,7.0,4.0,5.0,6.0,5.0,6.0
19,8.0,6.0,5.0,6.0,6.0,7.0,8.0,5.0,8.0,4.0,7.0,6.0,5.0,5.0,7.0,5.0,6.0,6.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0
20,8.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,8.0,4.0,7.0,6.0,6.0,6.0,7.0,5.0,6.0,7.0,7.0,7.0,5.0,5.0,7.0,6.0,7.0
21,9.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,9.0,4.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,8.0,8.0,5.0,5.0,7.0,6.0,7.0
22,9.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,10.0,4.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,5.0,7.0,7.0,7.0
23,9.0,8.0,6.0,6.0,7.0,7.0,9.0,6.0,10.0,4.0,7.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,9.0,8.0,6.0,6.0,7.0,7.0,7.0
24,10.0,8.0,7.0,7.0,7.0,8.0,10.0,7.0,11.0,5.0,7.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,9.0,8.0,6.0,6.0,7.0,8.0,7.0
25,10.0,8.0,8.0,7.0,8.0,9.0,11.0,7.0,11.0,5.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,9.0,9.0,9.0,6.0,6.0,8.0,8.0,8.0
26,11.0,8.0,8.0,8.0,8.0,9.0,11.0,7.0,12.0,5.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,6.0,7.0,8.0,9.0,8.0
27,11.0,8.0,8.0,8.0,8.0,9.0,11.0,7.0,12.0,5.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,10.0,10.0,6.0,7.0,8.0,9.0,8.0
28,12.0,9.0,8.0,8.0,8.0,10.0,11.0,7.0,12.0,5.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,10.0,10.0,10.0,6.0,7.0,9.0,9.0,8.0
29,12.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,12.0,6.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,10.0,11.0,10.0,6.0,7.0,9.0,9.0,9.0
30,12.0,9.0,8.0,9.0,9.0,10.0,12.0,8.0,13.0,6.0,9.0,8.0,9.0,8.0,10.0,7.0,9.0,10.0,11.0,10.0,6.0,7.0,10.0,9.0,9.0
31,12.0,9.0,9.0,9.0,9.0,10.0,12.0,8.0,13.0,6.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0,11.0,12.0,10.0,7.0,7.0,11.0,9.0,10.0
32,13.0,9.0,9.0,10.0,9.0,11.0,13.0,8.0,14.0,6.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0,11.0,13.0,10.0,7.0,8.0,11.0,9.0,10.0
33,13.0,10.0,10.0,10.0,9.0,11.0,13.0,9.0,15.0,6.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,12.0,13.0,11.0,7.0,8.0,11.0,10.0,10.0
34,13.0,10.0,10.0,10.0,10.0,11.0,13.0,9.0,15.0,7.0,10.0,9.0,11.0,10.0,11.0,8.0,10.0,12.0,13.0,11.0,8.0,8.0,12.0,10.0,10.0
35,13.0,10.0,10.0,10.0,11.0,12.0,13.0,9.0,15.0,7.0,10.0,10.0,12.0,10.0,12.0,8.0,10.0,12.0,14.0,12.0,8.0,8.0,12.0,11.0,10.0
36,14.0,10.0,10.0,11.0,11.0,12.0,13.0,9.0,15.0,8.0,10.0,10.0,12.0,10.0,13.0,8.0,11.0,12.0,14.0,12.0,9.0,8.0,12.0,11.0,10.0
37,14.0,10.0,10.0,11.0,12.0,12.0,13.0,9.0,15.0,9.0,10.0,10.0,12.0,11.0,13.0,9.0,11.0,12.0,15.0,12.0,9.0,8.0,12.0,11.0,11.0
38,14.0,11.0,11.0,11.0,12.0,12.0,13.0,9.0,16.0,9.0,10.0,11.0,13.0,11.0,13.0,9.0,11.0,12.0,15.0,13.0,9.0,8.0,12.0,12.0,12.0
39,15.0,11.0,11.0,12.0,12.0,12.0,14.0,9.0,16.0,9.0,10.0,11.0,13.0,12.0,14.0,9.0,11.0,12.0,16.0,13.0,9.0,9.0,12.0,12.0,12.0
40,15.0,12.0,12.0,13.0,12.0,13.0,15.0,10.0,16.0,9.0,10.0,11.0,13.0,12.0,15.0,10.0,11.0,13.0,16.0,13.0,9.0,9.0,12.0,12.0,12.0
41,15.0,12.0,12.0,13.0,13.0,13.0,15.0,10.0,16.0,10.0,11.0,12.0,13.0,12.0,15.0,10.0,12.0,13.0,16.0,13.0,9.0,9.0,12.0,12.0,12.0
42,15.0,12.0,12.0,13.0,14.0,13.0,15.0,10.0,17.0,10.0,11.0,12.0,13.0,12.0,16.0,10.0,12.0,13.0,16.0,13.0,9.0,10.0,12.0,13.0,12.0
43,15.0,12.0,12.0,13.0,14.0,14.0,15.0,11.0,17.0,10.0,12.0,12.0,13.0,13.0,16.0,10.0,13.0,14.0,17.0,13.0,9.0,10.0,12.0,13.0,13.0
44,16.0,13.0,13.0,13.0,14.0,15.0,15.0,11.0,17.0,10.0,12.0,12.0,14.0,13.0,16.0,10.0,13.0,14.0,17.0,14.0,10.0,10.0,12.0,13.0,13.0
45,16.0,13.0,13.0,13.0,14.0,15.0,15.0,12.0,18.0,10.0,12.0,13.0,14.0,13.0,17.0,10.0,13.0,14.0,17.0,14.0,10.0,11.0,13.0,13.0,13.0
46,17.0,13.0,13.0,14.0,15.0,15.0,15.0,12.0,18.0,10.0,12.0,13.0,14.0,13.0,17.0,11.0,13.0,15.0,17.0,14.0,11.0,11.0,13.0,13.0,13.0
47,17.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,18.0,11.0,12.0,13.0,14.0,14.0,17.0,11.0,14.0,15.0,18.0,14.0,11.0,11.0,13.0,14.0,14.0
48,17.0,14.0,14.0,14.0,16.0,16.0,15.0,12.0,18.0,11.0,13.0,13.0,14.0,14.0,18.0,12.0,14.0,15.0,18.0,14.0,11.0,12.0,13.0,14.0,14.0
49,17.0,14.0,14.0,15.0,16.0,16.0,16.0,12.0,18.0,11.0,13.0,14.0,15.0,15.0,18.0,12.0,14.0,15.0,18.0,15.0,12.0,12.0,13.0,15.0,14.0
50,18.0,15.0,15.0,15.0,16.0,16.0,16.0,12.0,18.0,11.0,13.0,14.0,15.0,15.0,19.0,12.0,15.0,15.0,19.0,15.0,13.0,12.0,14.0,15.0,14.0
51,18.0,15.0,15.0,15.0,17.0,16.0,16.0,12.0,19.0,11.0,13.0,14.0,15.0,15.0,19.0,12.0,15.0,15.0,19.0,16.0,13.0,13.0,14.0,15.0,15.0
52,18.0,15.0,15.0,16.0,17.0,17.0,17.0,13.0,19.0,12.0,14.0,14.0,15.0,15.0,19.0,12.0,15.0,15.0,19.0,16.0,13.0,13.0,14.0,15.0,15.0
53,18.0,15.0,15.0,16.0,17.0,17.0,17.0,13.0,20.0,12.0,14.0,14.0,16.0,16.0,20.0,12.0,15.0,15.0,19.0,16.0,13.0,14.0,14.0,16.0,16.0
54,19.0,15.0,15.0,16.0,17.0,17.0,17.0,13.0,20.0,12.0,14.0,14.0,16.0,16.0,20.0,12.0,15.0,15.0,20.0,16.0,13.0,14.0,15.0,17.0,16.0
55,19.0,16.0,15.0,16.0,18.0,17.0,17.0,13.0,20.0,13.0,15.0,14.0,16.0,16.0,21.0,12.0,15.0,15.0,20.0,16.0,14.0,15.0,15.0,17.0,16.0
56,20.0,16.0,15.0,17.0,18.0,18.0,18.0,14.0,20.0,13.0,15.0,14.0,16.0,16.0,21.0,13.0,15.0,16.0,21.0,17.0,14.0,16.0,15.0,18.0,16.0
57,20.0,16.0,16.0,17.0,18.0,18.0,18.0,15.0,20.0,14.0,15.0,14.0,16.0,16.0,21.0,13.0,15.0,16.0,21.0,17.0,14.0,16.0,15.0,18.0,16.0
58,21.0,17.0,17.0,17.0,18.0,19.0,19.0,15.0,21.0,15.0,15.0,15.0,16.0,17.0,21.0,13.0,15.0,16.0,21.0,17.0,15.0,16.0,16.0,18.0,17.0
59,21.0,17.0,17.0,17.0,19.0,19.0,19.0,16.0,21.0,15.0,16.0,15.0,17.0,17.0,22.0,14.0,15.0,16.0,22.0,17.0,16.0,16.0,16.0,19.0,17.0
60,21.0,17.0,17.0,18.0,19.0,19.0,19.0,16.0,22.0,16.0,16.0,15.0,17.0,18.0,22.0,14.0,16.0,17.0,22.0,17.0,17.0,16.0,16.0,19.0,18.0
61,21.0,17.0,17.0,18.0,19.0,20.0,19.0,16.0,22.0,16.0,17.0,16.0,17.0,18.0,22.0,15.0,16.0,17.0,22.0,18.0,17.0,16.0,16.0,20.0,18.0
