,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
3,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
4,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
5,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0
6,4.0,3.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0
7,5.0,4.0,6.0,5.0,4.0,6.0,6.0,7.0,6.0
8,5.0,4.0,7.0,5.0,5.0,7.0,7.0,8.0,6.0
9,6.0,5.0,8.0,6.0,6.0,7.0,7.0,9.0,6.0
10,7.0,6.0,9.0,6.0,6.0,8.0,8.0,10.0,7.0
11,7.0,6.0,9.0,7.0,7.0,8.0,8.0,11.0,7.0
12,7.0,7.0,10.0,8.0,8.0,9.0,9.0,12.0,8.0
13,8.0,8.0,11.0,8.0,9.0,10.0,10.0,12.0,9.0
14,9.0,8.0,12.0,9.0,10.0,10.0,11.0,13.0,9.0
15,10.0,9.0,13.0,10.0,11.0,11.0,11.0,13.0,10.0
16,10.0,10.0,14.0,11.0,12.0,11.0,12.0,14.0,11.0
17,11.0,11.0,14.0,12.0,12.0,12.0,13.0,15.0,12.0
18,12.0,11.0,15.0,13.0,13.0,13.0,13.0,16.0,13.0
19,12.0,12.0,16.0,14.0,14.0,14.0,14.0,16.0,13.0
20,13.0,12.0,16.0,15.0,15.0,14.0,15.0,17.0,14.0
21,14.0,13.0,17.0,16.0,15.0,15.0,16.0,18.0,14.0
22,15.0,14.0,18.0,16.0,16.0,16.0,17.0,19.0,15.0
23,15.0,14.0,19.0,16.0,17.0,16.0,18.0,19.0,15.0
24,16.0,14.0,20.0,17.0,17.0,16.0,18.0,20.0,16.0
25,17.0,15.0,20.0,18.0,18.0,17.0,19.0,21.0,17.0
26,17.0,16.0,21.0,19.0,18.0,18.0,20.0,21.0,18.0
27,18.0,16.0,22.0,20.0,19.0,19.0,20.0,22.0,19.0
28,19.0,17.0,22.0,20.0,19.0,19.0,21.0,22.0,20.0
29,19.0,18.0,23.0,21.0,20.0,20.0,22.0,23.0,21.0
30,19.0,18.0,23.0,21.0,20.0,20.0,22.0,24.0,22.0
31,20.0,19.0,23.0,21.0,21.0,21.0,23.0,25.0,23.0
32,21.0,20.0,24.0,21.0,21.0,22.0,24.0,26.0,24.0
33,21.0,21.0,25.0,22.0,22.0,22.0,25.0,27.0,25.0
34,21.0,21.0,26.0,23.0,22.0,23.0,26.0,28.0,25.0
35,22.0,22.0,26.0,24.0,23.0,23.0,27.0,29.0,26.0
36,23.0,22.0,27.0,24.0,23.0,24.0,28.0,29.0,26.0
37,24.0,22.0,27.0,25.0,24.0,25.0,28.0,30.0,27.0
38,25.0,23.0,28.0,26.0,25.0,26.0,29.0,30.0,28.0
39,26.0,24.0,28.0,26.0,26.0,26.0,29.0,31.0,28.0
40,26.0,25.0,29.0,27.0,26.0,27.0,30.0,32.0,29.0
41,27.0,26.0,30.0,27.0,27.0,27.0,31.0,33.0,29.0
42,28.0,26.0,31.0,28.0,27.0,27.0,32.0,33.0,30.0
43,28.0,27.0,32.0,29.0,28.0,28.0,33.0,34.0,30.0
44,29.0,27.0,33.0,29.0,28.0,28.0,34.0,34.0,31.0
45,29.0,28.0,34.0,30.0,29.0,29.0,35.0,35.0,32.0
46,30.0,29.0,35.0,31.0,29.0,30.0,35.0,36.0,33.0
47,30.0,30.0,36.0,32.0,30.0,30.0,35.0,36.0,34.0
48,31.0,31.0,37.0,33.0,31.0,31.0,36.0,37.0,35.0
49,32.0,32.0,37.0,34.0,32.0,32.0,37.0,38.0,35.0
50,32.0,32.0,38.0,34.0,33.0,33.0,38.0,38.0,36.0
51,32.0,33.0,38.0,35.0,34.0,34.0,38.0,39.0,37.0
52,32.0,33.0,39.0,35.0,35.0,34.0,38.0,40.0,37.0
53,33.0,34.0,40.0,35.0,35.0,35.0,39.0,41.0,38.0
54,33.0,35.0,40.0,36.0,36.0,36.0,39.0,41.0,39.0
55,34.0,36.0,41.0,37.0,36.0,36.0,40.0,41.0,39.0
56,34.0,36.0,41.0,37.0,37.0,37.0,40.0,42.0,40.0
57,34.0,37.0,42.0,38.0,38.0,37.0,41.0,43.0,41.0
58,35.0,37.0,43.0,38.0,38.0,37.0,41.0,44.0,42.0
59,35.0,38.0,44.0,39.0,39.0,38.0,41.0,45.0,43.0
60,36.0,38.0,44.0,40.0,40.0,39.0,42.0,45.0,44.0
61,37.0,38.0,45.0,40.0,40.0,40.0,43.0,46.0,45.0
62,37.0,39.0,46.0,41.0,41.0,40.0,44.0,46.0,45.0
63,38.0,39.0,47.0,42.0,42.0,41.0,44.0,47.0,46.0
64,38.0,40.0,48.0,43.0,42.0,42.0,45.0,48.0,47.0
65,39.0,41.0,49.0,44.0,42.0,43.0,45.0,49.0,48.0
66,40.0,41.0,49.0,45.0,43.0,44.0,46.0,50.0,49.0
67,40.0,42.0,50.0,45.0,44.0,45.0,47.0,51.0,49.0
68,40.0,43.0,50.0,46.0,45.0,45.0,47.0,52.0,50.0
69,41.0,44.0,51.0,47.0,45.0,46.0,48.0,52.0,51.0
70,42.0,45.0,52.0,47.0,46.0,46.0,49.0,53.0,51.0
71,43.0,45.0,53.0,48.0,46.0,47.0,50.0,54.0,52.0
72,43.0,46.0,54.0,48.0,47.0,47.0,51.0,55.0,52.0
73,44.0,46.0,55.0,49.0,47.0,48.0,52.0,56.0,53.0
74,45.0,47.0,55.0,49.0,48.0,49.0,52.0,57.0,54.0
75,46.0,47.0,56.0,50.0,49.0,50.0,53.0,57.0,54.0
76,47.0,48.0,57.0,50.0,50.0,50.0,54.0,58.0,55.0
77,47.0,49.0,58.0,51.0,50.0,51.0,55.0,59.0,55.0
78,48.0,49.0,59.0,52.0,51.0,51.0,55.0,60.0,56.0
79,48.0,49.0,59.0,53.0,51.0,52.0,56.0,61.0,56.0
80,49.0,49.0,60.0,54.0,51.0,53.0,57.0,62.0,57.0
81,50.0,50.0,60.0,54.0,52.0,54.0,58.0,62.0,58.0
82,51.0,51.0,61.0,55.0,53.0,55.0,59.0,63.0,59.0
83,52.0,52.0,62.0,55.0,53.0,56.0,60.0,64.0,60.0
84,53.0,53.0,62.0,56.0,54.0,56.0,60.0,65.0,61.0
85,53.0,54.0,62.0,56.0,55.0,57.0,61.0,65.0,61.0
86,54.0,54.0,63.0,57.0,55.0,57.0,62.0,66.0,62.0
87,55.0,55.0,64.0,58.0,56.0,58.0,62.0,67.0,63.0
88,56.0,56.0,64.0,59.0,57.0,58.0,63.0,67.0,63.0
89,56.0,57.0,65.0,59.0,57.0,59.0,64.0,68.0,64.0
90,57.0,58.0,65.0,60.0,58.0,60.0,65.0,69.0,65.0
91,58.0,59.0,66.0,61.0,58.0,60.0,66.0,70.0,66.0
92,58.0,60.0,67.0,62.0,59.0,61.0,66.0,70.0,66.0
93,59.0,61.0,68.0,63.0,60.0,61.0,67.0,71.0,67.0
94,60.0,62.0,69.0,63.0,60.0,61.0,68.0,72.0,68.0
95,61.0,63.0,70.0,64.0,61.0,62.0,69.0,73.0,69.0
96,62.0,64.0,70.0,64.0,62.0,62.0,70.0,74.0,70.0
97,62.0,65.0,71.0,65.0,62.0,63.0,71.0,75.0,71.0
98,63.0,66.0,72.0,66.0,63.0,63.0,71.0,76.0,71.0
99,64.0,67.0,73.0,67.0,64.0,64.0,72.0,77.0,72.0
100,64.0,68.0,73.0,67.0,64.0,64.0,72.0,78.0,72.0
