,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
3,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
4,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0
5,4.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0
6,5.0,5.0,3.0,5.0,6.0,4.0,5.0,5.0,5.0
7,5.0,6.0,4.0,6.0,7.0,5.0,6.0,6.0,6.0
8,6.0,7.0,5.0,7.0,8.0,5.0,6.0,7.0,7.0
9,6.0,8.0,5.0,8.0,9.0,6.0,7.0,8.0,8.0
10,7.0,9.0,6.0,8.0,10.0,6.0,8.0,9.0,9.0
11,8.0,10.0,7.0,8.0,11.0,7.0,9.0,9.0,10.0
12,9.0,11.0,8.0,9.0,12.0,8.0,10.0,10.0,11.0
13,9.0,12.0,9.0,10.0,13.0,9.0,10.0,11.0,12.0
14,10.0,12.0,10.0,10.0,13.0,10.0,11.0,12.0,12.0
15,11.0,13.0,11.0,11.0,14.0,11.0,12.0,12.0,13.0
16,11.0,14.0,12.0,11.0,15.0,12.0,13.0,13.0,13.0
17,11.0,15.0,12.0,12.0,16.0,13.0,14.0,13.0,14.0
18,12.0,16.0,13.0,12.0,17.0,14.0,15.0,14.0,14.0
19,12.0,16.0,14.0,13.0,18.0,15.0,15.0,14.0,15.0
20,13.0,17.0,15.0,13.0,18.0,16.0,16.0,15.0,16.0
21,14.0,17.0,16.0,14.0,19.0,17.0,17.0,16.0,17.0
22,15.0,18.0,17.0,14.0,20.0,17.0,17.0,17.0,17.0
23,16.0,19.0,18.0,15.0,20.0,18.0,18.0,17.0,18.0
24,16.0,19.0,19.0,16.0,21.0,19.0,19.0,17.0,19.0
25,16.0,20.0,20.0,17.0,22.0,19.0,20.0,18.0,20.0
26,17.0,21.0,21.0,18.0,23.0,20.0,21.0,19.0,21.0
27,18.0,21.0,22.0,19.0,24.0,20.0,22.0,20.0,22.0
28,19.0,22.0,23.0,20.0,25.0,21.0,23.0,21.0,22.0
29,19.0,23.0,24.0,21.0,26.0,22.0,24.0,22.0,23.0
30,19.0,24.0,25.0,22.0,27.0,23.0,24.0,23.0,24.0
31,20.0,25.0,25.0,23.0,28.0,24.0,25.0,23.0,25.0
32,21.0,25.0,25.0,24.0,29.0,25.0,25.0,24.0,26.0
33,22.0,26.0,26.0,25.0,30.0,26.0,26.0,25.0,26.0
34,23.0,27.0,26.0,25.0,31.0,27.0,27.0,26.0,27.0
35,24.0,28.0,27.0,26.0,32.0,27.0,28.0,26.0,28.0
36,25.0,29.0,28.0,27.0,33.0,28.0,29.0,27.0,29.0
37,26.0,30.0,28.0,28.0,33.0,28.0,30.0,27.0,29.0
38,27.0,30.0,29.0,29.0,34.0,29.0,31.0,28.0,30.0
39,28.0,31.0,30.0,30.0,35.0,30.0,32.0,29.0,31.0
40,29.0,32.0,31.0,31.0,35.0,31.0,32.0,30.0,31.0
41,30.0,33.0,32.0,32.0,36.0,32.0,33.0,30.0,32.0
42,31.0,34.0,33.0,33.0,37.0,33.0,34.0,31.0,32.0
43,31.0,34.0,34.0,34.0,38.0,33.0,35.0,32.0,33.0
44,32.0,35.0,34.0,35.0,39.0,33.0,36.0,32.0,33.0
45,33.0,36.0,35.0,36.0,39.0,33.0,37.0,33.0,33.0
46,34.0,37.0,36.0,37.0,39.0,34.0,37.0,33.0,34.0
47,35.0,38.0,37.0,38.0,40.0,35.0,38.0,33.0,35.0
48,35.0,39.0,38.0,38.0,40.0,36.0,38.0,34.0,36.0
49,36.0,40.0,39.0,38.0,40.0,36.0,38.0,35.0,37.0
50,37.0,40.0,40.0,39.0,41.0,37.0,39.0,36.0,37.0
51,38.0,41.0,41.0,40.0,41.0,38.0,40.0,36.0,38.0
52,39.0,42.0,41.0,41.0,42.0,39.0,41.0,37.0,39.0
53,40.0,43.0,42.0,42.0,43.0,39.0,42.0,38.0,40.0
54,40.0,44.0,43.0,42.0,43.0,40.0,42.0,38.0,40.0
55,41.0,45.0,44.0,43.0,44.0,40.0,43.0,39.0,40.0
56,42.0,46.0,45.0,44.0,45.0,41.0,44.0,40.0,41.0
57,43.0,46.0,45.0,44.0,46.0,42.0,45.0,41.0,41.0
58,44.0,46.0,46.0,45.0,46.0,43.0,46.0,42.0,42.0
59,45.0,47.0,47.0,46.0,46.0,44.0,47.0,42.0,43.0
60,45.0,47.0,48.0,47.0,47.0,45.0,48.0,43.0,44.0
61,45.0,48.0,48.0,48.0,48.0,46.0,49.0,44.0,44.0
62,46.0,49.0,49.0,48.0,49.0,47.0,50.0,45.0,45.0
63,47.0,50.0,50.0,49.0,50.0,47.0,51.0,45.0,46.0
64,47.0,51.0,50.0,50.0,51.0,48.0,52.0,46.0,47.0
65,48.0,52.0,50.0,51.0,52.0,49.0,53.0,47.0,48.0
66,49.0,53.0,51.0,52.0,53.0,50.0,53.0,48.0,49.0
67,50.0,54.0,52.0,53.0,54.0,50.0,54.0,49.0,50.0
68,51.0,55.0,53.0,54.0,54.0,50.0,55.0,49.0,51.0
69,52.0,56.0,54.0,55.0,55.0,51.0,56.0,50.0,52.0
70,53.0,56.0,55.0,56.0,56.0,52.0,57.0,50.0,52.0
71,54.0,57.0,55.0,57.0,57.0,53.0,58.0,51.0,53.0
72,54.0,58.0,56.0,57.0,58.0,54.0,59.0,52.0,54.0
73,55.0,59.0,57.0,58.0,59.0,55.0,59.0,52.0,54.0
74,55.0,59.0,58.0,59.0,60.0,56.0,60.0,53.0,55.0
75,55.0,59.0,59.0,60.0,60.0,57.0,61.0,54.0,55.0
76,56.0,60.0,60.0,61.0,61.0,57.0,61.0,55.0,56.0
77,57.0,61.0,61.0,62.0,61.0,57.0,62.0,55.0,56.0
78,58.0,61.0,62.0,63.0,62.0,58.0,63.0,56.0,57.0
79,59.0,62.0,63.0,63.0,62.0,59.0,64.0,57.0,58.0
80,59.0,63.0,63.0,64.0,63.0,60.0,65.0,58.0,58.0
81,60.0,64.0,64.0,65.0,64.0,61.0,66.0,58.0,59.0
82,60.0,65.0,65.0,66.0,65.0,62.0,67.0,59.0,60.0
83,61.0,66.0,65.0,67.0,65.0,63.0,68.0,60.0,61.0
84,62.0,67.0,66.0,68.0,66.0,64.0,69.0,61.0,61.0
85,63.0,68.0,66.0,69.0,66.0,65.0,70.0,61.0,62.0
86,64.0,69.0,67.0,70.0,67.0,65.0,70.0,61.0,63.0
87,65.0,70.0,67.0,70.0,68.0,66.0,70.0,62.0,64.0
88,65.0,70.0,68.0,71.0,69.0,67.0,71.0,62.0,65.0
89,66.0,70.0,69.0,72.0,70.0,68.0,72.0,63.0,66.0
90,67.0,71.0,70.0,73.0,71.0,69.0,73.0,64.0,67.0
91,68.0,72.0,71.0,74.0,72.0,69.0,74.0,65.0,67.0
92,69.0,73.0,72.0,75.0,73.0,70.0,75.0,65.0,68.0
93,70.0,74.0,72.0,76.0,74.0,71.0,76.0,66.0,69.0
94,71.0,75.0,73.0,76.0,75.0,72.0,77.0,67.0,70.0
95,71.0,76.0,74.0,77.0,75.0,73.0,78.0,68.0,71.0
96,72.0,77.0,74.0,78.0,76.0,74.0,79.0,68.0,72.0
97,72.0,78.0,75.0,79.0,77.0,74.0,80.0,69.0,73.0
98,72.0,79.0,76.0,80.0,78.0,75.0,81.0,70.0,74.0
99,73.0,80.0,77.0,81.0,78.0,76.0,82.0,70.0,75.0
100,74.0,81.0,77.0,82.0,79.0,76.0,83.0,71.0,76.0
