,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15
66,15.0,13.0,14.0,13.0,13.0,13.0,13.0,11.0,13.0,14.0,14.0,13.0,15.0,15.0,13.0,13.0
67,16.0,13.0,15.0,13.0,13.0,13.0,13.0,12.0,14.0,14.0,14.0,14.0,15.0,15.0,13.0,13.0
68,16.0,13.0,15.0,13.0,13.0,13.0,14.0,12.0,14.0,14.0,14.0,14.0,15.0,15.0,13.0,14.0
69,16.0,14.0,15.0,13.0,13.0,13.0,14.0,12.0,14.0,14.0,14.0,14.0,15.0,15.0,13.0,14.0
70,16.0,14.0,15.0,13.0,14.0,13.0,14.0,12.0,14.0,14.0,14.0,14.0,16.0,15.0,13.0,14.0
71,16.0,14.0,16.0,14.0,14.0,14.0,14.0,12.0,15.0,14.0,14.0,14.0,16.0,16.0,14.0,14.0
72,16.0,15.0,16.0,14.0,14.0,14.0,14.0,12.0,15.0,15.0,14.0,14.0,16.0,16.0,14.0,15.0
73,16.0,15.0,16.0,14.0,14.0,14.0,14.0,13.0,15.0,15.0,14.0,15.0,16.0,16.0,14.0,15.0
74,17.0,15.0,16.0,14.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,15.0,16.0,16.0,14.0,15.0
75,17.0,15.0,17.0,14.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,15.0,16.0,16.0,14.0,15.0
76,17.0,16.0,17.0,15.0,14.0,14.0,15.0,13.0,16.0,16.0,15.0,15.0,17.0,16.0,14.0,15.0
77,17.0,16.0,17.0,15.0,15.0,14.0,15.0,13.0,16.0,17.0,15.0,16.0,17.0,17.0,15.0,15.0
78,17.0,16.0,17.0,15.0,15.0,15.0,15.0,14.0,16.0,17.0,15.0,16.0,17.0,17.0,15.0,16.0
79,18.0,16.0,17.0,15.0,15.0,15.0,15.0,14.0,16.0,17.0,15.0,16.0,17.0,17.0,15.0,16.0
80,18.0,16.0,17.0,15.0,15.0,15.0,15.0,14.0,16.0,17.0,15.0,16.0,18.0,17.0,15.0,17.0
81,18.0,17.0,18.0,16.0,15.0,15.0,16.0,14.0,16.0,17.0,16.0,16.0,18.0,17.0,16.0,17.0
82,18.0,17.0,18.0,16.0,16.0,15.0,16.0,14.0,17.0,17.0,16.0,17.0,18.0,17.0,16.0,17.0
83,18.0,17.0,18.0,16.0,16.0,16.0,16.0,15.0,17.0,18.0,16.0,17.0,18.0,18.0,16.0,17.0
84,19.0,17.0,18.0,16.0,16.0,16.0,16.0,15.0,17.0,18.0,16.0,17.0,18.0,18.0,16.0,18.0
85,19.0,17.0,18.0,16.0,16.0,16.0,17.0,15.0,17.0,18.0,16.0,17.0,18.0,18.0,16.0,18.0
86,19.0,17.0,18.0,17.0,16.0,16.0,17.0,16.0,17.0,18.0,16.0,18.0,18.0,18.0,16.0,18.0
87,19.0,18.0,19.0,17.0,16.0,17.0,17.0,16.0,17.0,19.0,17.0,18.0,19.0,19.0,17.0,18.0
88,19.0,18.0,19.0,17.0,16.0,17.0,17.0,16.0,17.0,19.0,17.0,18.0,19.0,19.0,17.0,18.0
89,19.0,18.0,19.0,17.0,17.0,17.0,18.0,16.0,18.0,19.0,17.0,18.0,19.0,19.0,17.0,19.0
90,20.0,18.0,19.0,17.0,17.0,17.0,18.0,16.0,18.0,19.0,17.0,18.0,19.0,19.0,17.0,19.0
91,20.0,18.0,19.0,17.0,17.0,17.0,18.0,16.0,18.0,20.0,17.0,18.0,19.0,19.0,18.0,19.0
92,20.0,19.0,19.0,18.0,17.0,18.0,18.0,16.0,18.0,20.0,17.0,19.0,20.0,20.0,18.0,19.0
93,20.0,19.0,19.0,18.0,17.0,18.0,18.0,17.0,18.0,20.0,18.0,19.0,20.0,20.0,18.0,19.0
94,21.0,19.0,20.0,18.0,17.0,18.0,19.0,17.0,18.0,20.0,18.0,19.0,20.0,20.0,18.0,19.0
95,21.0,19.0,20.0,18.0,18.0,18.0,19.0,17.0,19.0,20.0,18.0,19.0,20.0,20.0,18.0,20.0
96,22.0,19.0,20.0,18.0,18.0,19.0,19.0,17.0,19.0,20.0,19.0,19.0,20.0,20.0,18.0,20.0
97,22.0,19.0,21.0,19.0,18.0,19.0,19.0,17.0,19.0,20.0,19.0,19.0,21.0,20.0,18.0,20.0
98,22.0,20.0,21.0,19.0,18.0,19.0,19.0,17.0,19.0,21.0,19.0,20.0,21.0,21.0,18.0,20.0
99,22.0,20.0,21.0,19.0,19.0,19.0,19.0,17.0,19.0,21.0,19.0,20.0,22.0,21.0,19.0,20.0
100,22.0,20.0,21.0,19.0,19.0,19.0,20.0,18.0,19.0,21.0,19.0,20.0,22.0,21.0,19.0,21.0
